Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD
HTC One S,HTC,One S,1650,4.3,Yes,540,960,2,1000,16,8,0.3,Android,Yes,Yes,Yes,1,Yes,No,17172,$600 ,12-Apr,823.98
BlackBerry Curve 9220,BlackBerry,Curve 9220,1450,2.44,No,240,320,1,512,0.512,2,0,BlackBerry,Yes,Yes,No,1,No,No,6999,$160 ,12-Apr,219.728
Nokia Lumia 610,Nokia,Lumia 610,1300,3.7,Yes,480,800,1,256,8,5,0,Windows,Yes,Yes,Yes,1,Yes,No,4990,$250 ,12-Feb,343.325
Samsung Galaxy Y Pro Duos,Samsung,Galaxy Y Pro Duos,1350,2.6,Yes,240,320,1,384,0.16,3.2,0.3,Android,Yes,Yes,Yes,2,Yes,No,5555,$200 ,12-Jan,274.66
Samsung Galaxy Pocket,Samsung,Galaxy Pocket,1200,2.8,Yes,240,320,1,289,3,2,0,Android,Yes,Yes,Yes,1,Yes,No,3190,$135 ,12-Mar,185.3955
Samsung Galaxy S III,Samsung,Galaxy S III,2100,4.8,Yes,720,1280,4,1000,16,8,1.9,Android,Yes,Yes,Yes,1,Yes,Yes,5999,$600 ,12-May,823.98
Sony Xperia U,Sony,Xperia U,1320,3.5,Yes,480,854,2,512,8,5,0.3,Android,Yes,Yes,Yes,1,Yes,No,4990,$300 ,12-May,411.99
Nokia Lumia 920,Nokia,Lumia 920,2000,4.5,Yes,768,1280,2,1000,32,8.7,1.3,Windows,Yes,Yes,Yes,1,Yes,No,8999,$450 ,12-Nov,617.985
Nokia Lumia 820,Nokia,Lumia 820,1650,4.3,Yes,480,800,2,1000,8,8,0.3,Windows,Yes,Yes,Yes,1,Yes,No,19660,$500 ,12-Nov,686.65
LG Optimus G,LG,Optimus G,2100,4.7,Yes,768,1280,4,2000,32,13,1.3,Android,Yes,Yes,Yes,1,Yes,No,9999,$600 ,12-Nov,823.98
