Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
Oppo Reno 10x Zoom,Oppo,Reno 10x Zoom,4065,6.6,Yes,1080,2340,8,6000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,36990,$680 ,19-Apr,830.96,6.722581659
Realme 3 Pro,Realme,3 Pro,4045,6.3,Yes,1080,2340,8,4000,64,16,25,Android,Yes,Yes,Yes,2,Yes,Yes,13999,$200 ,19-Apr,244.4,5.498806227
Oppo A9,Oppo,A9,4020,6.53,Yes,1080,2340,8,4000,128,16,16,Android,Yes,Yes,No,2,Yes,Yes,11990,$270 ,19-Apr,329.94,5.79891082
Samsung Galaxy A70,Samsung,Galaxy A70,4500,6.7,Yes,1080,2400,8,6000,128,32,32,Android,Yes,Yes,Yes,2,Yes,Yes,22299,$400 ,19-Apr,488.8,6.191953408
Vivo Y17,Vivo,Y17,5000,6.35,Yes,720,1544,8,4000,128,13,20,Android,Yes,Yes,Yes,2,No,No,11490,$260 ,19-Apr,317.72,5.761170492
Infinix Smart 3 Plus,Infinix,Smart 3 Plus,3500,6.21,Yes,720,1520,4,2000,32,13,8,Android,Yes,Yes,No,2,No,No,6999,$90 ,19-Apr,109.98,4.700298531
Oppo A1k,Oppo,A1k,4000,6.1,Yes,720,1560,8,2000,32,8,5,Android,Yes,Yes,No,2,No,No,6670,$120 ,19-Apr,146.64,4.987980604
Xiaomi Redmi Y3,Xiaomi,Redmi Y3,4000,6.26,Yes,720,1520,8,3000,32,12,32,Android,Yes,Yes,Yes,2,Yes,Yes,7999,$145 ,19-Apr,177.19,5.177222603
Honor 20i,Honor,20i,3400,6.21,Yes,1080,2340,8,4000,128,24,32,Android,Yes,Yes,Yes,2,Yes,Yes,10999,$240 ,19-Apr,293.28,5.681127784
Samsung Galaxy A2 Core,Samsung,Galaxy A2 Core,2600,5,Yes,540,960,8,1000,16,5,5,Android,Yes,Yes,Yes,2,Yes,Yes,5290,$75 ,19-Apr,91.65,4.517976974
Samsung Galaxy A20,Samsung,Galaxy A20,4000,6.4,Yes,720,1560,8,3000,32,13,8,Android,Yes,Yes,No,1,No,No,9900,$175 ,19-Apr,213.85,5.365274835
