Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
LeEco Le 2,LeEco,Le 2,3000,5.5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,6999,$180 ,16-Apr,231.84,5.446047479
LeEco Le Max 2,LeEco,Le Max 2,3100,5.7,Yes,1440,2560,4,4000,32,21,8,Android,Yes,Yes,Yes,2,Yes,Yes,7790,$390 ,16-Apr,502.32,6.219237367
Huawei P9,Huawei,P9,3000,5.2,Yes,1080,1920,8,3000,32,12,8,Android,Yes,Yes,Yes,1,Yes,Yes,39999,$600 ,16-Apr,772.8,6.650020283
LG G5,LG,G5,2800,5.3,Yes,1440,2560,4,4000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,10999,$650 ,16-Apr,837.2,6.730062991
Vivo V3Max,Vivo,V3Max,3000,5.5,Yes,1080,1920,8,4000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,17979,$360 ,16-Apr,463.68,6.139194659
Panasonic Eluga Arc,Panasonic,Eluga Arc,1800,4.7,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4899,$180 ,16-Apr,231.84,5.446047479
Vivo V3,Vivo,V3,2550,5,Yes,720,1280,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,14980,$270 ,16-Apr,347.76,5.851512587
Micromax Canvas Spark 3,Micromax,Canvas Spark 3,2500,5.5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,No,3968,$75 ,16-Apr,96.6,4.570578741
Yu Yureka Note,Yu,reka Note,4000,6,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6499,$200 ,16-Apr,257.6,5.551407994
Videocon Krypton V50DA,Videocon,Krypton V50DA,3000,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,4006,$70 ,16-Apr,90.16,4.50158587
Meizu m3 note,Meizu,m3 note,4100,5.5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,No,2,Yes,Yes,5290,$150 ,16-Apr,193.2,5.263725922
Samsung Galaxy J5 (2016),Samsung,Galaxy J5 (2016),3100,5.2,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9999,$210 ,16-Apr,270.48,5.600198158
