,Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,year
0,OnePlus 7T Pro McLaren Edition,OnePlus,7T Pro McLaren Edition,4085,6.67,Yes,1440,3120,8,12000,256,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,58998,899.00 ,
1,Realme X2 Pro,Realme,X2 Pro,4000,6.5,Yes,1080,2400,8,6000,64,64,16,Android,Yes,Yes,Yes,2,Yes,Yes,27999,420.00 ,
2,iPhone 11 Pro Max,Apple,iPhone 11 Pro Max,3969,6.5,Yes,1242,2688,6,4000,64,12,12,iOS,Yes,Yes,Yes,2,Yes,Yes,106900,1099.00 ,
3,iPhone 11,Apple,iPhone 11,3110,6.1,Yes,828,1792,6,4000,64,12,12,iOS,Yes,Yes,Yes,2,Yes,Yes,62900,699.00 ,
4,LG G8X ThinQ,LG,G8X ThinQ,4000,6.4,Yes,1080,2340,8,6000,128,12,32,Android,Yes,Yes,Yes,1,No,No,49990,699.00 ,
5,OnePlus 7T,OnePlus,7T,3800,6.55,Yes,1080,2400,8,8000,128,48,16,Android,Yes,Yes,No,2,Yes,Yes,34930,599.00 ,
6,OnePlus 7T Pro,OnePlus,7T Pro,4085,6.67,Yes,1440,3120,8,8000,256,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,52990,699.00 ,
7,Samsung Galaxy Note 10+,Samsung,Galaxy Note 10+,4300,6.8,Yes,1440,3040,8,12000,256,12,10,Android,Yes,Yes,Yes,2,Yes,Yes,79699,1099.00 ,
8,Asus ROG Phone 2,Asus,ROG Phone 2,6000,6.59,Yes,1080,2340,8,8000,128,48,24,Android,Yes,Yes,Yes,1,Yes,Yes,37999,899.00 ,
9,Xiaomi Redmi K20 Pro,Xiaomi,Redmi K20 Pro,4000,6.39,Yes,1080,2340,8,6000,128,48,20,Android,Yes,Yes,Yes,2,No,No,23190,360.00 ,
10,Oppo K3,Oppo,K3,3765,6.5,Yes,1080,2340,8,6000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,23990,230.00 ,
11,Realme X,Realme,X,3765,6.53,Yes,1080,2340,8,4000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,14999,230.00 ,
12,Xiaomi Redmi K20,Xiaomi,Redmi K20,4000,6.39,Yes,1080,2340,8,6000,64,48,20,Android,Yes,Yes,Yes,2,Yes,Yes,19282,290.00 ,
13,OnePlus 7 Pro,OnePlus,7 Pro,4000,6.67,Yes,1440,3120,8,6000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,39995,669.00 ,
14,Oppo Reno 10x Zoom,Oppo,Reno 10x Zoom,4065,6.6,Yes,1080,2340,8,6000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,36990,680.00 ,
15,Realme 3 Pro,Realme,3 Pro,4045,6.3,Yes,1080,2340,8,4000,64,16,25,Android,Yes,Yes,Yes,2,Yes,Yes,13999,200.00 ,
16,Huawei P30 Pro,Huawei,P30 Pro,4200,6.47,Yes,1080,2340,8,8000,256,40,32,Android,Yes,Yes,No,2,Yes,Yes,54280,999.00 ,
17,Redmi Note 7 Pro,Xiaomi,Redmi Note 7 Pro,4000,6.3,Yes,1080,2340,8,4000,64,48,13,Android,Yes,Yes,Yes,2,Yes,Yes,9799,200.00 ,
18,Huawei Mate 20 Pro,Huawei,Mate 20 Pro,4200,6.39,Yes,1440,3120,8,6000,128,40,24,Android,Yes,Yes,Yes,2,Yes,Yes,63990,1000.00 ,
19,LG V40 ThinQ,LG,V40 ThinQ,3300,6.4,Yes,1440,3120,8,6000,128,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,29999,900.00 ,
20,OnePlus 6T,OnePlus,6T,3700,6.41,Yes,1080,2340,8,6000,128,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,31999,549.00 ,
21,Apple iPhone XR,Apple,iPhone XR,2942,6.1,Yes,828,1792,6,3000,64,12,7,iOS,Yes,Yes,Yes,2,Yes,Yes,45499,749.00 ,
22,Apple iPhone XS Max,Apple,iPhone XS Max,2658,6.5,Yes,1242,2688,6,4000,64,12,7,iOS,Yes,Yes,Yes,2,Yes,Yes,69999,1099.00 ,
23,Apple iPhone XS,Apple,iPhone XS,2658,5.8,Yes,1125,2436,6,4000,64,12,7,iOS,Yes,Yes,Yes,2,Yes,Yes,59999,999.00 ,
24,Google Pixel 3 XL,Google,Pixel 3 XL,3430,6.3,Yes,1440,2960,8,4000,64,12.2,8,Android,Yes,Yes,Yes,1,Yes,Yes,47990,899.00 ,
25,Google Pixel 3,Google,Pixel 3,2915,5.5,Yes,1080,2160,8,4000,64,12.2,8,Android,Yes,Yes,Yes,1,Yes,Yes,37999,799.00 ,
26,Asus ROG Phone,Asus,ROG Phone,4000,6,Yes,1080,2160,8,8000,128,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,69999,899.00 ,
27,Samsung Galaxy Note 9,Samsung,Galaxy Note 9,4000,6.4,Yes,1440,2960,8,6000,128,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,56999,999.00 ,
28,LG G7+ ThinQ,LG,G7+ ThinQ,3000,6.1,Yes,1440,3120,8,6000,128,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,37999,750.00 ,
29,Asus ZenFone Max Pro M1,Asus,ZenFone Max Pro M1,5000,5.99,Yes,1080,2160,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,9990,200.00 ,
30,Huawei P20 Pro,Huawei,P20 Pro,4000,6.1,Yes,1080,2240,8,4000,64,40,24,Android,Yes,Yes,Yes,2,No,Yes,49990,899.00 ,
31,OnePlus 6,OnePlus,6,3300,6.28,Yes,1080,2280,8,6000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,34999,529.00 ,
32,Asus ZenFone 5Z (ZS620KL),Asus,ZenFone 5Z (ZS620KL),3300,6.2,Yes,1080,2246,8,4000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,18999,499.00 ,
33,Redmi Note 5 Pro,Xiaomi,Redmi Note 5 Pro,4000,5.99,Yes,1080,2160,8,4000,64,12,20,Android,Yes,Yes,Yes,2,Yes,Yes,9349,200.00 ,
34,Nokia 7 Plus,Nokia,7 Plus,3800,6,Yes,1080,2160,8,4000,64,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,12000,400.00 ,
35,Samsung Galaxy S9+,Samsung,Galaxy S9+,3500,6.2,Yes,1440,2960,8,6000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,29999,840.00 ,
36,Samsung Galaxy S9,Samsung,Galaxy S9,3000,5.8,Yes,1440,2960,8,4000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,26999,720.00 ,
37,HTC U11+,HTC,U11+,3930,6,Yes,1440,2560,8,6000,128,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,52990,849.00 ,
38,Samsung Galaxy Note 8,Samsung,Galaxy Note 8,3300,6.3,Yes,1440,2960,8,6000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,49999,929.00 ,
39,Apple iPhone 8,Apple,iPhone 8,1821,4.7,Yes,750,1334,6,2000,64,12,7,iOS,Yes,Yes,Yes,1,Yes,Yes,36999,699.00 ,
