asin,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
B07K8RNW7H,1079.95,1248.9,1125.01,1006.12,730.87,596.48,552.7,587.81,520.8,457.21,444.99,437.88,416.05,338.96,306.9,321.48,306.92,275.2,288.71,300.56,261.11,232.07,217.8,229.42,225.65,217.01,208.54
B07KFNRQ5S,1179.95,1393.36,1348.25,1139.61,777.32,652.5,636.78,670.58,572.43,502.02,496.69,496.26,485.05,385.45,368.26,369.09,328.04,301.6,312.63,303.98,272,255.93,234.43,244.55,254.96,240.56,229.99
B07P6298Y8,,,1499.99,1165.47,848.29,687.84,643.14,708.11,663.2,550.29,561.1,564.8,537.02,430.79,437.57,421.01,427.03,369.55,371.66,390.78,337.37,331.84,313.08,319.52,304.27,276.79,280.58
B07P6Y7954,,,647.6,639.9,522.21,450.82,465.74,457.07,390.63,343.38,349.63,342.41,326.46,274.49,235.17,236.7,225.5,214.23,224.02,215.55,198.45,182.54,166.58,168.75,175.52,161.88,156.92
B07P6Y7JW1,,809,780.06,788.77,667.72,561,602.35,576.68,496.69,453.59,459.72,449.03,420.01,347.74,317.78,330.89,306.05,278.04,300.01,288.03,260.72,240.55,222.42,218.59,218.14,209.99,203.22
B07P976BBH,,749.99,713.22,725.44,574.46,502.61,515.77,509.87,436.89,405.85,406.63,407.63,367.71,298.55,272.26,268.65,256.48,244.49,257.07,248.24,227.41,205.92,186.99,193.83,201.36,180.14,167.8
B07SC58QBW,,,849.99,791.2,614.84,506.54,487.12,490.96,442.5,353.18,358.58,363.82,343.37,288.65,252.68,251.21,234.13,213.58,221.05,221.74,205.76,176.71,167.71,177.18,193.75,167.26,158.07
B07TJBCC7H,,,1029,906.07,707.72,559.61,563.33,591,504.33,409.66,445.48,421.08,389.91,324.3,289.34,310.95,286.39,256.42,270.81,264.84,234.15,195.98,197.86,207.69,219.38,185.48,190.24
B07Z3XZDT5,,,,,649.02,543.68,546.84,616.79,529.61,487.98,397.43,367.34,356.12,346.61,293.52,243,231.16,226.35,224.47,238.72,245.14,243.55,217.44,216.41,209.16,202.97,199.36
B07Z45BH81,,,,,871.99,837.64,756.69,865.32,675.33,588.26,495.95,570.07,515.16,573.67,443.97,400.78,406.33,388.44,393.39,401.96,363.39,528.21,363.92,415.46,405.93,423.36,583.5
B07ZPKN6YR,,,,,737.32,686.74,650.48,669.38,585.32,567.1,526.12,488.68,452.46,392.79,349.77,345.12,318.41,302.08,296.72,295.23,247.88,223.57,211.52,212.09,214.07,192.92,184.75
B07ZPKR714,,,,,769.11,768.52,726.72,742.08,651.46,611.77,597.46,572.73,517.28,442.48,403.01,391.62,345.27,331.6,336.04,338.41,295.38,262.83,242.13,252.63,246.45,222.06,207.8
B07ZPKZSSC,,,,,969,988.8,859.64,792.95,723.22,658.47,635.79,629.18,558.38,457.05,443.39,439.37,367.22,342.03,353.3,354.01,326.58,277.28,251.01,257.92,269.76,242.5,219
B07ZPL6Y2D,,,,,881.58,906,743.16,766.49,704.04,686.97,660.76,623.49,574.15,477.52,456.29,429.69,394.21,372.21,386.48,365.13,333.57,290.48,268.51,279.8,270.5,251.21,233.33
B07ZQRL9XY,,,,,1185.02,1223.9,978.89,907.27,834.62,752.26,737.96,711.56,655.06,539.71,526.75,526.96,404.99,388.3,402.17,411.85,377.17,314.75,289.67,309.21,305.15,272.86,252.8
B07ZQRW6N1,,,,,1386.25,1662.77,1210.61,1065.71,1008.32,892.8,866.81,857.22,790.44,652.86,694.17,712.33,553.37,525.05,525.23,551.64,506.1,420.35,397.79,398.23,390.02,354.89,345.72
B07ZQSQSBM,,,,,1100.96,1127.03,961.76,940.28,860.95,731.13,719.39,682.54,669.9,552.87,537.01,521.95,425.88,389.66,408.04,420.47,382.37,338.47,302.36,304.72,308.92,278.66,266.74
B07ZQSQXCW,,,,,1268.96,1413.66,1009.39,922.68,900.29,790.66,784.27,777.35,714.51,565.74,594.78,651.2,489.77,452.31,449.61,465.41,412.66,368.2,324.99,341.37,342.48,305.47,284.72
B07ZQSSKY4,,,,,1270.54,1271.05,1080.89,1018.08,970.28,855.49,826.75,791.69,745.72,624.14,636.3,640.1,499.54,458.76,496.88,505.52,429.98,375.23,356.66,363.38,368.32,323.05,309.88
B082F1QKHK,,,,,,,,,,,,,,,,,,1223,1661.68,1115.34,1198.34,1337.34,1254.56,1023.5,951.13,1152.25,1215
B0845ZVJW3,,,,,,,694.38,717.25,601.84,528.35,445.81,455.96,422.74,411.05,350.89,312.84,311.17,296.42,286.57,292.76,286.6,296.86,273.66,262.86,260.13,250.88,254.03
B085P2R3DQ,,,,,,571.54,575.39,691,609.49,509.49,503.84,512.85,461.66,387.55,366.43,410.81,343.03,306.69,331.55,317.78,299.49,272.98,259.98,262.93,271.47,238.3,232.28
B085PZQPFX,,,,,,620,509.83,467.47,380.04,411.56,350.17,284.87,292.74,301.33,290.27,286.12,292.17,313.69,292.7,315.46,251.81,252.05,218.43,190.85,199.99,199.15,179.45
B08HCTH2MH,,,,,,,,815.99,769.7,697.2,675.93,634.58,611.15,558.62,573.97,458.59,422.87,450.6,416,481.71,360.3,290.11,292.78,299.99,317.48,334.97,
B08HL64JS8,,,,,,,,989.03,1006.53,834.11,904.79,883.54,823.93,801.43,674.16,505.26,433.3,396.98,380.06,389.37,391.12,382.41,333.67,316.1,319.67,314.1,306.32
B08PMKQP79,,,,,,,,,,1181.74,1380.62,1350.28,1179.87,912.01,885.01,880.09,664.26,628.96,668.67,670.44,536.32,480.67,448.88,477.79,461.84,420.03,401.92
B08PMP778K,,,,,,,,,,1350,1293.05,1283.99,1051.45,870.59,813.6,794.18,625.34,607,631.85,626.1,499.91,459.67,433.18,460.33,450.65,395.23,381.15
B08PMTFVZK,,,,,,,,,,1655,1621.9,1542.68,1223.36,1058.96,980.79,913.07,711.39,689.75,699.71,696.14,568.4,504.46,486.42,528.65,515.77,458.91,436.9
B08PMYLKVF,,,,,,,,,,1187.8,1139.61,1007.3,914.73,763.38,716.15,676.83,530.44,516.17,501.19,506.2,410.55,375.18,361.96,369.74,361.64,314.21,294.39
B08PN8R5HT,,,,,,,,,,1532.5,1546.56,1455.56,1010.15,884.96,851.78,814.27,656.7,634.37,629.03,603.85,521.2,455.58,420.51,435.3,423.95,365.77,330.71
B08PNHB9L7,,,,,,,,,,1350,1284.42,1147,937.92,800.81,751.77,714.65,558.09,534.79,556.46,527.26,459.57,395.08,382.24,398.41,378.47,336.04,309.33
B08PNKN4J7,,,,,,,,,,720.35,722.1,633.3,580.07,532.99,489.07,482.64,408.06,351.18,350.73,345.54,313.75,266.94,246.64,248.17,244.64,210.79,197.3
