asin,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
B07TTJTDQ9,392.07,355.17,303.99,325.61,305.46,229.8,171.62,145.46,161.79,168.59,137.29,133.22,169.29,119.61,115.98,156.95,187.2,109.37,106.24,103.2,105.06,102.15,97.82,91.92
B07V5Q64J7,352.33,318.73,284.63,291.44,293.99,213.48,166.56,147.18,147.01,146.47,130.78,127.51,192.55,108.53,109.25,187.3,153.56,123.87,104.23,101.73,107.69,102.54,154.45,101.61
B07XDC4HRD,344.66,311.47,287.89,298.18,283.61,,,,,,,,,,,,,,,,,,,
B0824BR684,,759,600.09,509.44,514.63,386.7,312.24,287.81,337.72,311.48,219.68,213.24,195.98,170.61,142.6,174.58,168.1,160.14,168.47,146.28,149.06,142.55,122.72,115.07
B082YF9MMW,,,525.11,440.15,470.94,322.4,280.25,236.19,271.4,268,211.63,205.22,178.29,155.95,117.25,121.34,144.21,137.69,127.6,132.16,130.42,131.39,120.62,117.48
B087YX32KP,,,,,,,,,,,755.33,692.09,678.94,699.27,735.71,760.67,757.87,740.22,767.4,767.67,783,784.5,764.67,802
B08H85VZNX,,,,,313.85,344.95,327.12,316.03,333.55,349.85,283.45,246.67,211.08,149.88,132.54,137.87,159.45,155.21,159.2,152.17,139.6,135.4,123.31,127.95
B08JQLY7HR,,,,,,,642.33,516.48,500.41,541.85,535.22,331.42,475.03,498.95,541.5,561.11,556.36,559.97,568.65,564.38,574.9,577,561.57,590
B08JQN9BNZ,,,,,,1059,921.86,642.65,609.71,623.64,591.2,404.04,334.78,517.3,592.79,609.76,,,516,794.5,799.99,,,
B08LRFGM3T,,,,,,,,,,,,,,,839.1,737.36,723,723.41,735,729.86,751,743,728.71,766
B08MV7HWFK,,,,,,610.85,607.48,581.16,651.51,530.04,333.04,363.11,326.81,234.37,164.15,162.72,178.07,186.09,162.05,171.72,156.39,143.73,133.41,138.16
B08NWBY8YJ,,,,,,,238.12,224.95,226.71,216.87,205.99,173.19,156.39,134.6,128.64,139.87,186.62,222.06,201.12,154.12,106.74,105.16,103.15,101.9
B08R61G69Q,,,,,,,458.09,459.97,489.08,389.25,297.58,287.46,247.81,185.95,141.33,137.94,151.23,153.23,165.42,167.71,145.98,125.49,127.12,99
B08Y7S5PJV,,,,,,,,,,,,,,,,727.8,719.88,713.21,724.25,685,684.5,682,685.5,714.33
B09B5BV56G,,,,,,,,,253.32,227.08,238.42,239.29,189.57,213.31,213.65,193.97,204.23,211.78,203.23,201.05,188.67,171.84,155,
B09BW13DMN,,,,,,,,,,,617.4,437,364.05,352.96,402.26,327.64,324.4,299.64,436.25,486.4,728.87,483.97,438.56,396.17
B09GFZLQWX,,,,,,,,,,,475.67,434.86,421,467.63,747.79,727.81,723,724.15,726.07,666.25,679.8,678.5,663.4,694.33
B09HMGHK6Z,,,,,,,,,,,,,,,469.67,491.46,486.89,489.76,496.33,494.67,505,506,497,520
B09LHP1RXP,,,,,,,,,,,390.06,211.93,179.44,180.08,177.08,179.83,390.29,228.19,197.25,188.62,179.99,,,149.99
B09NP6697R,,,,,,,,,,549.99,533.35,548.95,449.9,351.74,233.08,239.64,251.29,244.51,201.79,193.99,197.05,176.58,166.22,166.79
B09P2YCS9C,,,,,,,,,,999.99,,837.25,699.72,563.61,383.11,405.99,400.84,353.36,272.84,296.44,306.69,240.69,235.53,221.86
B09RQY3R2X,,,,,,,,,,,328.71,316.1,251.79,225.04,194,181.72,159.99,194.74,,,,,229.5,261.33
B09SBQJ9FZ,,,,,,,,,,,374.83,328.92,274,250.69,229.99,209.99,194.99,,,,169.99,154.99,139.99,
B09MD7V2X1,,,,,,,,,,,279.99,224.28,192.65,155.9,203.56,252.61,229.5,249.99,214.99,240.99,177.24,143.32,,
B09TSGXHF4,,,,,,,,,,,,244,228.19,197.96,215.81,229.99,219.99,,,205.74,,,190.5,
